analysis_id,customer_id,churn_probability,risk_level,analysis_date
1,1,91.00,High,2026-09-07
2,2,54.00,Medium,2026-09-07
3,3,8.00,Low,2026-09-07
4,4,95.00,High,2026-09-07
5,5,38.00,Medium,2026-09-07
6,6,83.00,High,2026-09-07
7,7,6.00,Low,2026-09-07
8,8,93.00,High,2026-09-07
9,9,48.00,Medium,2026-09-07
10,10,10.00,Low,2026-09-07
11,11,97.00,High,2026-09-07
12,12,4.00,Low,2026-09-07
13,13,45.00,Medium,2026-09-07
14,14,88.00,High,2026-09-07
15,15,33.00,Medium,2026-09-07
16,16,90.00,High,2026-09-07
17,17,9.00,Low,2026-09-07
18,18,80.00,High,2026-09-07
19,19,30.00,Medium,2026-09-07
20,20,96.00,High,2026-09-07
21,21,1.00,Low,2026-09-07
22,22,1.00,Low,2026-09-07
23,23,1.00,Low,2026-09-07
24,24,11.66,Low,2026-09-07
25,25,9.11,Low,2026-09-07
26,26,99.00,High,2026-09-07
27,27,14.91,Low,2026-09-07
28,28,1.00,Low,2026-09-07
29,29,60.56,Medium,2026-09-07
30,30,82.81,High,2026-09-07
31,31,15.10,Low,2026-09-07
32,32,21.46,Low,2026-09-07
33,33,89.31,High,2026-09-07
34,34,8.65,Low,2026-09-07
35,35,1.00,Low,2026-09-07
36,36,75.48,High,2026-09-07
37,37,47.07,Medium,2026-09-07
38,38,79.01,High,2026-09-07
39,39,57.48,Medium,2026-09-07
40,40,58.54,Medium,2026-09-07
41,41,71.48,High,2026-09-07
42,42,99.00,High,2026-09-07
43,43,71.47,High,2026-09-07
44,44,46.25,Medium,2026-09-07
45,45,72.89,High,2026-09-07
46,46,72.47,High,2026-09-07
47,47,91.53,High,2026-09-07
48,48,27.97,Low,2026-09-07
49,49,17.33,Low,2026-09-07
50,50,50.65,Medium,2026-09-07
51,51,40.34,Medium,2026-09-07
52,52,19.30,Low,2026-09-07
53,53,3.54,Low,2026-09-07
54,54,57.98,Medium,2026-09-07
55,55,8.31,Low,2026-09-07
56,56,57.72,Medium,2026-09-07
57,57,74.86,High,2026-09-07
58,58,13.60,Low,2026-09-07
59,59,7.36,Low,2026-09-07
60,60,1.00,Low,2026-09-07
61,61,7.76,Low,2026-09-07
62,62,91.13,High,2026-09-07
63,63,92.51,High,2026-09-07
64,64,1.00,Low,2026-09-07
65,65,66.64,Medium,2026-09-07
66,66,72.36,High,2026-09-07
67,67,42.21,Medium,2026-09-07
68,68,63.74,Medium,2026-09-07
69,69,28.57,Low,2026-09-07
70,70,55.62,Medium,2026-09-07
71,71,44.17,Medium,2026-09-07
72,72,25.07,Low,2026-09-07
73,73,49.23,Medium,2026-09-07
74,74,48.09,Medium,2026-09-07
75,75,41.83,Medium,2026-09-07
76,76,1.00,Low,2026-09-07
77,77,1.00,Low,2026-09-07
78,78,64.73,Medium,2026-09-07
79,79,60.30,Medium,2026-09-07
80,80,15.69,Low,2026-09-07
81,81,65.65,Medium,2026-09-07
82,82,1.00,Low,2026-09-07
83,83,63.70,Medium,2026-09-07
84,84,99.00,High,2026-09-07
85,85,29.05,Low,2026-09-07
86,86,34.23,Medium,2026-09-07
87,87,20.43,Low,2026-09-07
88,88,93.61,High,2026-09-07
89,89,1.00,Low,2026-09-07
90,90,29.54,Low,2026-09-07
91,91,1.00,Low,2026-09-07
92,92,82.05,High,2026-09-07
93,93,57.54,Medium,2026-09-07
94,94,57.90,Medium,2026-09-07
95,95,14.60,Low,2026-09-07
96,96,77.51,High,2026-09-07
97,97,35.95,Medium,2026-09-07
98,98,4.30,Low,2026-09-07
99,99,14.80,Low,2026-09-07
100,100,1.00,Low,2026-09-07
101,101,1.00,Low,2026-09-07
102,102,51.28,Medium,2026-09-07
103,103,1.00,Low,2026-09-07
